k_wil;nama_sls;rt;art;validasi;perlakuan;cek;catatan
1206030030000300-4                             ;DUSUN 3;4;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030030000300-94                            ;DUSUN 3;94;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030032000200-35                            ;DUSUN 2;35;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030032000400-10                            ;DUSUN 4;10;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030033000400-20                            ;LINGKUNGAN 2;20;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030034000300-95                            ;LINGKUNGAN 3;95;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030035000100-35                            ;DUSUN 1;35;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030035000200-35                            ;DUSUN 2;35;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030035000200-81                            ;DUSUN 2;81;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030038000200-68                            ;DUSUN 2;68;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206031003000300-27                            ;DUSUN 3;27;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206031003000300-63                            ;DUSUN 3;63;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206031003000400-38                            ;DUSUN 4;38;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206040003000200-100                           ;DUSUN PASAR SIMOTUNG;100;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206040003000200-112                           ;DUSUN PASAR SIMOTUNG;112;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206040003000200-8                             ;DUSUN PASAR SIMOTUNG;8;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206040009000200-30                            ;DUSUN HUTATINGGI;30;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206040009000200-75                            ;DUSUN HUTATINGGI;75;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206040014000200-40                            ;DUSUN GOMPAR TAHAN;40;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206040015000200-34                            ;DUSUN 2 LUMBAN BAGASAN TORUAN;34;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206050004000700-47                            ;DUSUN 7;47;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206050004001000-61                            ;DUSUN 10;61;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206050004001000-71                            ;DUSUN 10;71;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206050009000300-36                            ;LINGKUNGAN JALAN BARU;36;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206050009000900-38                            ;LINGKUNGAN HUTA TONGA /RT 3;38;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206050009000900-7                             ;LINGKUNGAN HUTA TONGA /RT 3;7;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206050009000900-99                            ;LINGKUNGAN HUTA TONGA /RT 3;99;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206050009001000-125                           ;LINGKUNGAN RT 4;125;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206050010000300-162                           ;DUSUN TUNGKO NISOLU;162;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206050016000100-11                            ;DUSUN HITETANO;11;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206050019000700-34                            ;DUSUN HUTA BARU;34;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
